Front	Back	Tags
Output Rail	<b>英文全称：</b> Output Rail<br><b>中文全称：</b> 输出护栏<br><b>中文解释：</b> 在模型输出给用户前检查幻觉、有害内容、隐私泄露或格式违规。	AAI::NVIDIA_平台
Dialog Rail	<b>英文全称：</b> Dialog Rail<br><b>中文全称：</b> 对话护栏<br><b>中文解释：</b> 控制对话流程、意图路由、状态转移和下一步动作的规则。	AAI::NVIDIA_平台
Retrieval Rail	<b>英文全称：</b> Retrieval Rail<br><b>中文全称：</b> 检索护栏<br><b>中文解释：</b> 控制和检查检索阶段的 query、结果来源、权限和内容合规性。	AAI::NVIDIA_平台
Execution Rail	<b>英文全称：</b> Execution Rail<br><b>中文全称：</b> 执行护栏<br><b>中文解释：</b> 在工具调用或行动执行前后检查权限、参数、安全风险和审批条件。	AAI::NVIDIA_平台
Triton	<b>英文全称：</b> NVIDIA Triton Inference Server<br><b>中文全称：</b> NVIDIA Triton 推理服务器<br><b>中文解释：</b> NVIDIA 的推理服务软件，可统一部署和服务多框架 AI 模型，支持高性能生产推理。	AAI::NVIDIA_平台
TensorRT-LLM	<b>英文全称：</b> NVIDIA TensorRT-LLM<br><b>中文全称：</b> NVIDIA TensorRT-LLM<br><b>中文解释：</b> 用于在 NVIDIA GPU 上优化大语言模型推理性能的库，关注低延迟和高吞吐。	AAI::NVIDIA_平台
GPU	<b>英文全称：</b> Graphics Processing Unit<br><b>中文全称：</b> 图形处理器<br><b>中文解释：</b> 适合大规模并行计算的加速硬件，是大模型训练和推理的重要基础。	AAI::NVIDIA_平台
CUDA	<b>英文全称：</b> Compute Unified Device Architecture<br><b>中文全称：</b> 统一计算设备架构<br><b>中文解释：</b> NVIDIA 的并行计算平台和编程模型，使软件能利用 GPU 加速计算。	AAI::NVIDIA_平台
Inference Microservice	<b>英文全称：</b> Inference Microservice<br><b>中文全称：</b> 推理微服务<br><b>中文解释：</b> 把模型推理能力封装为可通过 API 调用的独立服务，便于扩展、监控和集成。	AAI::NVIDIA_平台
Observability	<b>英文全称：</b> Observability<br><b>中文全称：</b> 可观测性<br><b>中文解释：</b> 通过日志、指标、链路追踪和事件记录理解系统内部状态并快速定位问题的能力。	AAI::运行、监控与维护
Logging	<b>英文全称：</b> Logging<br><b>中文全称：</b> 日志记录<br><b>中文解释：</b> 记录请求、工具调用、错误、输出和安全事件，支持调试、审计和根因分析。	AAI::运行、监控与维护
Trace	<b>英文全称：</b> Trace<br><b>中文全称：</b> 链路追踪<br><b>中文解释：</b> 记录一次请求经过的多个步骤、服务和工具调用路径，帮助定位失败发生的位置。	AAI::运行、监控与维护
Telemetry	<b>英文全称：</b> Telemetry<br><b>中文全称：</b> 遥测数据<br><b>中文解释：</b> 系统自动收集的运行指标、事件和行为数据，用于监控、评估和优化。	AAI::运行、监控与维护
Dashboard	<b>英文全称：</b> Dashboard<br><b>中文全称：</b> 监控仪表板<br><b>中文解释：</b> 集中展示延迟、错误率、成本、工具调用、任务成功率和安全拦截等指标的界面。	AAI::运行、监控与维护
RCA	<b>英文全称：</b> Root Cause Analysis<br><b>中文全称：</b> 根因分析<br><b>中文解释：</b> 系统性追踪问题产生的真正原因，而不是只处理表面错误。	AAI::运行、监控与维护
Alerting	<b>英文全称：</b> Alerting<br><b>中文全称：</b> 告警<br><b>中文解释：</b> 当错误率、延迟、成本、安全事件或任务失败率超过阈值时自动通知相关人员。	AAI::运行、监控与维护
SLA	<b>英文全称：</b> Service Level Agreement<br><b>中文全称：</b> 服务等级协议<br><b>中文解释：</b> 对可用性、响应时间等服务质量作出的正式承诺。	AAI::运行、监控与维护
SLO	<b>英文全称：</b> Service Level Objective<br><b>中文全称：</b> 服务等级目标<br><b>中文解释：</b> 内部或外部定义的可量化服务目标，例如 99.9% 可用性或 2 秒内响应。	AAI::运行、监控与维护
Incident Response	<b>英文全称：</b> Incident Response<br><b>中文全称：</b> 故障响应<br><b>中文解释：</b> 发现生产问题后进行告警、分级、止损、修复、复盘和改进的流程。	AAI::运行、监控与维护
Drift	<b>英文全称：</b> Drift<br><b>中文全称：</b> 漂移<br><b>中文解释：</b> 模型输入、用户行为、数据分布或任务类型随时间变化，导致系统表现下降的现象。	AAI::运行、监控与维护
Prompt Versioning	<b>英文全称：</b> Prompt Versioning<br><b>中文全称：</b> 提示词版本管理<br><b>中文解释：</b> 记录和管理提示词变更，确保可以比较、回滚和审计不同版本效果。	AAI::运行、监控与维护
Guardrails	<b>英文全称：</b> Guardrails<br><b>中文全称：</b> 安全护栏<br><b>中文解释：</b> 限制智能体输入、输出、检索和工具执行行为的规则与检测机制，用于降低安全、合规和质量风险。	AAI::安全、伦理与合规
RBAC	<b>英文全称：</b> Role-Based Access Control<br><b>中文全称：</b> 基于角色的访问控制<br><b>中文解释：</b> 根据用户角色授予不同资源、工具和数据权限，避免越权访问。	AAI::安全、伦理与合规
Least Privilege	<b>英文全称：</b> Principle of Least Privilege<br><b>中文全称：</b> 最小权限原则<br><b>中文解释：</b> 只给用户或智能体完成任务所需的最低权限，减少误操作和攻击面。	AAI::安全、伦理与合规
Audit Trail	<b>英文全称：</b> Audit Trail<br><b>中文全称：</b> 审计轨迹<br><b>中文解释：</b> 记录谁在何时因什么请求执行了什么操作，便于追责、合规和安全调查。	AAI::安全、伦理与合规
PII	<b>英文全称：</b> Personally Identifiable Information<br><b>中文全称：</b> 个人可识别信息<br><b>中文解释：</b> 可直接或间接识别个人身份的信息，例如姓名、邮箱、身份证号、地址或电话。	AAI::安全、伦理与合规
Data Masking	<b>英文全称：</b> Data Masking<br><b>中文全称：</b> 数据脱敏<br><b>中文解释：</b> 隐藏或替换敏感信息，使系统在处理数据时降低隐私泄露风险。	AAI::安全、伦理与合规
Content Moderation	<b>英文全称：</b> Content Moderation<br><b>中文全称：</b> 内容审核<br><b>中文解释：</b> 检测和处理有害、违法、歧视、暴力、隐私泄露或不适当内容的机制。	AAI::安全、伦理与合规
Jailbreak	<b>英文全称：</b> Jailbreak<br><b>中文全称：</b> 越狱攻击<br><b>中文解释：</b> 诱导模型违反系统规则或安全边界的提示攻击方式。	AAI::安全、伦理与合规
Prompt Injection	<b>英文全称：</b> Prompt Injection<br><b>中文全称：</b> 提示注入<br><b>中文解释：</b> 把恶意指令嵌入用户输入、网页或文档，诱导智能体忽略原规则或执行越权操作的攻击。	AAI::安全、伦理与合规
Tool Permission	<b>英文全称：</b> Tool Permission<br><b>中文全称：</b> 工具权限<br><b>中文解释：</b> 控制智能体是否能调用某个工具、调用哪些参数以及是否需要人工确认的权限机制。	AAI::安全、伦理与合规
Approval Workflow	<b>英文全称：</b> Approval Workflow<br><b>中文全称：</b> 审批流程<br><b>中文解释：</b> 在高风险操作执行前引入人工确认或多级审批，降低误操作和合规风险。	AAI::安全、伦理与合规
Bias Mitigation	<b>英文全称：</b> Bias Mitigation<br><b>中文全称：</b> 偏见缓解<br><b>中文解释：</b> 通过数据、评估、规则和人工审查减少模型对群体或个体产生不公平输出的措施。	AAI::安全、伦理与合规
Compliance	<b>英文全称：</b> Compliance<br><b>中文全称：</b> 合规<br><b>中文解释：</b> 系统遵守法律法规、行业标准、企业政策、隐私要求和数据使用许可的状态。	AAI::安全、伦理与合规
License Compliance	<b>英文全称：</b> License Compliance<br><b>中文全称：</b> 许可证合规<br><b>中文解释：</b> 确认模型、数据、代码和第三方服务的使用方式符合其许可证和使用条款。	AAI::安全、伦理与合规
HITL	<b>英文全称：</b> Human-in-the-Loop<br><b>中文全称：</b> 人在回路/人工参与<br><b>中文解释：</b> 在关键节点让人类参与审批、纠正、评估或接管，适合高风险、高价值或不确定任务。	AAI::人机交互与监督
User Feedback	<b>英文全称：</b> User Feedback<br><b>中文全称：</b> 用户反馈<br><b>中文解释：</b> 用户对智能体输出的评分、修改、投诉或行为信号，可用于评估和持续改进。	AAI::人机交互与监督
Feedback Loop	<b>英文全称：</b> Feedback Loop<br><b>中文全称：</b> 反馈闭环<br><b>中文解释：</b> 把用户反馈、人工评审和运行数据转化为系统改进的持续流程。	AAI::人机交互与监督
Explainability	<b>英文全称：</b> Explainability<br><b>中文全称：</b> 可解释性<br><b>中文解释：</b> 让用户理解系统依据什么信息、采取了哪些步骤、为何给出某个结论的能力。	AAI::人机交互与监督
Transparency	<b>英文全称：</b> Transparency<br><b>中文全称：</b> 透明性<br><b>中文解释：</b> 向用户展示关键证据、数据来源、工具调用、限制条件和置信信息，以增强信任。	AAI::人机交互与监督
Accountability	<b>英文全称：</b> Accountability<br><b>中文全称：</b> 问责性<br><b>中文解释：</b> 明确系统行为、人工决策、数据来源和操作记录的责任归属。	AAI::人机交互与监督
Human Override	<b>英文全称：</b> Human Override<br><b>中文全称：</b> 人工覆盖/人工接管<br><b>中文解释：</b> 当智能体不确定、出错或遇到高风险情况时，人类可以中断、修改或接管流程。	AAI::人机交互与监督
Confirmation UI	<b>英文全称：</b> Confirmation User Interface<br><b>中文全称：</b> 确认界面<br><b>中文解释：</b> 在发送邮件、删除数据、写入系统等高风险操作前让用户确认具体内容和后果的界面。	AAI::人机交互与监督
